"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Économie, Éducation nationale, Culture, Interministériel","Oui","Oui","Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","","3000","4000","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage","","Une femme","Marketing","","25","2019-07-12T07:17:26+00:00"
"Écologie, Défense, Santé, Économie, Éducation nationale, Agriculture et alimentation, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDD (2-3 ans)","En métropole","IDF, Bretagne, Pays de la Loire","3000","4400","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","utilisation d'un service de cloud performant (GCP, AWS,...)","Un homme","Autre","développement d'infrastructure pour l'IA","3","2019-07-11T12:18:30+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Non","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","","2250","2300","Ne pas être soumis à des habilitations de sécurité / défense, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","NE PAS ÊTRE «RECRUTÉ» EN FREELANCE (COMME BEANCOUP DE VOS OFFRES), C'EST SIMPLEMENT INNADMISSIBLE DE VOIR DE TELLES OFFRES, ÇA MÉRITERAIT DES REQUALIFICATIONS PAR L'URSSAF.","Une femme","Développement fullstack","","10","2019-07-10T20:04:06+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture, Sécurité / secours, Interministériel","Non","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour avoir un travail stable","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3000","4000","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","15","2019-07-10T13:28:27+00:00"
"Écologie, Enseignement supérieur et recherche, Agriculture et alimentation","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département","CDI","En métropole","Toulouse","3000","4000","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage","","Une femme","Autre","Responsable projet ","23","2019-07-09T18:54:43+00:00"
"Écologie, Santé, Éducation nationale, Culture","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","2800","3300","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Product management","","3","2019-07-09T13:57:16+00:00"
"Affaires étrangères, Défense","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDD (2-3 ans)","En métropole","","3000","3600","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","3","2019-07-09T11:41:12+00:00"
"Écologie, Santé, Enseignement supérieur et recherche, Agriculture et alimentation","Oui","Je ne sais pas","Donner du sens à mon travail, Avoir un impact sur le quotidien","Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Grenoble","2000","3000","Travailler 35h / semaine, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Développement fullstack","","10","2019-07-09T10:11:38+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris","3500","4000","Avoir des horaires de travail flexibles, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","3","2019-07-08T18:35:59+00:00"
"Écologie, Santé, Économie","Non","Je ne sais pas","Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","Aix en Provence","4000","5000","Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Développement fullstack","Architecte informatique && Gout prononcé pour la Data et problématiques de scalabilité (Freelance possible mais non désiré)","18","2019-07-08T17:58:50+00:00"
"Écologie, Santé, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","2500","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Data scientist","","3","2019-07-08T17:53:34+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Oui","Donner du sens à mon travail","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris","2300","2600","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement backend","","2","2019-07-08T17:27:50+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","2500","3500","Avoir des horaires de travail flexibles","","Une femme","Data scientist","","10","2019-07-08T17:14:38+00:00"
"Écologie, Justice, Sécurité / secours","Oui","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","","4000","5000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","11","2019-07-08T15:51:54+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","2500","3500","Travailler 35h / semaine, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Data scientist","","3","2019-07-08T15:36:29+00:00"
"Écologie, Affaires étrangères, Enseignement supérieur et recherche, Culture, Interministériel","Non","Oui","Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3200","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Développement fullstack","et Scrum Master","3","2019-07-08T15:23:18+00:00"
"Écologie, Justice, Défense, Santé, Éducation nationale, Sports, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour ne pas faire uniquement des tâches techniques","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Rouen","3000","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","3","2019-07-08T15:18:03+00:00"
"Écologie, Santé, Culture, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","Rouen","3000","3200","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","Douches/vestiaires disponibles","Un homme","Développement fullstack","","4","2019-07-08T15:08:07+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière, Pour faire une césure","Au sein d'un ministère","CDI","En métropole","","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir démarrer en autonomie des serveurs","","Un homme","Autre","Data Engineer ","3","2019-07-08T15:06:09+00:00"
"Écologie, Justice, Affaires étrangères, Économie, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Renseignement, lutte contre la fraude","Oui","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3200","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","6","2019-07-08T15:04:13+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","marseille / nantes / lyon / montpellier","4500","5500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux","","Un homme","Data scientist","","8","2019-07-08T10:05:10+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'une commune","CDD (2-3 ans)","En métropole","","2500","3200","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","8","2019-07-06T12:56:57+00:00"
"Écologie, Santé, Éducation nationale, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère","Freelance, portage salarial","En région parisienne","Rennes","3000","3500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Conseil technique, traitement de données et prototypage d'outils numériques","8","2019-07-06T07:49:37+00:00"
"Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Marseille","2000","3000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","1","2019-07-05T22:42:39+00:00"
"Écologie, Défense, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Non","Servir l'intérêt général","Au sein d'un ministère","CDI","En région parisienne","paris","3000","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","12","2019-07-05T17:29:24+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Mulhouse / Belfort","2300","2300","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Autre","Avoir des projets interessants","Un homme","Développement fullstack","","20","2019-07-05T16:03:38+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sports","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","Guérande","3000","3500","Avoir des horaires de travail flexibles, Travailler en méthodes agiles","","Un homme","Développement fullstack","Gestion de projets","20","2019-07-05T14:52:51+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Interministériel","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En région parisienne","Paris","2400","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","10","2019-07-05T13:37:09+00:00"
"Justice, Affaires étrangères, Défense, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère","CDD (2-3 ans)","En région parisienne","Paris","2800","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Design de services","","15","2019-07-05T13:27:49+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Non","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","2600","2999","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","12","2019-07-05T10:14:58+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","","2500","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Product management","","15","2019-07-05T09:30:50+00:00"
"Écologie, Enseignement supérieur et recherche, Culture, Sports","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","2800","3500","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","","Un homme","Data scientist","","20","2019-07-05T06:54:20+00:00"
"Écologie, Justice, Santé, Sécurité / secours","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","3000","3500","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","3","2019-07-05T06:50:58+00:00"
"Santé, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sécurité / secours, Interministériel","Non","Non","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En région parisienne","","4500","6000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Autre","DevSecOps","10","2019-07-05T06:24:36+00:00"
"Écologie, Agriculture et alimentation","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","Paris","4100","4500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Coordinateur data","23","2019-07-05T05:55:12+00:00"
"Écologie, Santé, Agriculture et alimentation, Sécurité / secours","Oui","Je ne sais pas","Donner du sens à mon travail, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'une région","CDI","En outre-mer","Guadeloupe","2500","2670","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","Participer au prise de décision","Un homme","Développement fullstack","","3.5","2019-07-05T05:21:03+00:00"
"Écologie, Justice, Éducation nationale, Agriculture et alimentation, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3000","4000","Travailler 35h / semaine, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Design de services","","11","2019-07-04T23:03:20+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Une ville de province","3500","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Design de services","","10","2019-07-04T19:02:20+00:00"
"Santé, Enseignement supérieur et recherche","Non","Non","Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'une région","CDI","En métropole","Toulouse","3700","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","17","2019-07-04T15:02:55+00:00"
"Écologie, Défense, Santé, Éducation nationale, Agriculture et alimentation, Sports, Sécurité / secours","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","","4000","4500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir prendre des jours de congés sans solde, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","Possibilite d'assister a des Formations , conférences + pérennité du poste et possibilité d'évolution","Une femme","Autre","SIG","12","2019-07-04T14:54:24+00:00"
"Défense","Oui","Je ne sais pas","Pour avoir un travail stable","Au sein d'un ministère","CDI","En région parisienne","SONCHAMP","3000","3800","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Administration système","","20","2019-07-04T13:52:12+00:00"
"Écologie, Économie","Non","Non","Donner du sens à mon travail","Au sein d'un ministère","CDI","En métropole","","3300","3300","Pouvoir travailler sous GNU/Linux","","Un homme","Développement fullstack","","8","2019-07-04T12:05:59+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'une région, Au sein d'une commune","Freelance, portage salarial","En métropole","","3500","4500","Ne pas être soumis à des habilitations de sécurité / défense, Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles","","Un homme","Autre","Développement backend / Team Lead / Product Owner. ","20","2019-07-04T11:40:38+00:00"
"Écologie, Justice, Éducation nationale, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Métropole de Grenoble (idéalement) ou Paris, où je réside actuellement","1450","1800","Autre","Aucune de ces conditions n'est véritablement bloquante ou indispensable pour moi.","Une femme","Autre","Data strategist, soit entre Product management et développement de partenariats / acquisition de données","2","2019-07-04T11:34:00+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En région parisienne","Paris idéalement","2500","3000","Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Product management","","3","2019-07-04T11:32:47+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2500","2500","Ne pas être soumis à des habilitations de sécurité / défense","Ne produire que du code métier pertinent avec le minimum de lignes dans un langage déclaratif, pérenne et standard","Un homme","Autre","Fonctionnaire, développeur et  architecte SI.  Centré données","40","2019-07-04T10:53:07+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","Île de France ","3000","3500","Avoir des horaires de travail flexibles","","Un homme","Communication","","12","2019-07-04T09:35:37+00:00"
